MedalID,EventID,AthleteID,Medal
216,58,124,Gold
217,47,177,Gold
218,37,60,Gold
219,80,195,Silver
220,96,148,Silver
221,50,56,Silver
222,67,125,Gold
223,90,122,Bronze
224,71,107,Gold
225,48,89,Silver
226,53,173,Silver
227,91,1,Gold
228,24,67,Bronze
229,70,122,Gold
230,86,79,Gold
231,13,82,Bronze
232,61,156,Silver
233,46,50,Silver
234,4,33,Silver
235,55,88,Bronze
236,33,69,Gold
237,97,190,Bronze
238,44,11,Silver
239,54,152,Bronze
240,88,12,Silver
241,91,170,Silver
242,21,133,Silver
243,55,68,Gold
244,28,165,Silver
245,65,108,Bronze
246,27,174,Silver
247,54,22,Gold
248,45,140,Bronze
249,53,49,Bronze
250,53,182,Gold
251,15,25,Bronze
252,78,197,Bronze
253,86,162,Silver
254,30,37,Bronze
255,86,19,Bronze
256,16,89,Silver
257,37,163,Bronze
258,54,141,Bronze
259,24,41,Bronze
260,30,17,Bronze
261,18,58,Gold
262,67,18,Silver
263,69,64,Bronze
264,20,60,Silver
265,42,33,Gold
266,16,176,Bronze
267,81,188,Bronze
268,12,65,Silver
269,58,6,Bronze
270,42,136,Silver
271,75,148,Silver
272,86,154,Gold
273,2,165,Bronze
274,7,194,Silver
275,56,11,Gold
276,41,138,Bronze
277,58,97,Silver
278,89,75,Silver
279,70,143,Gold
280,20,89,Silver
281,55,29,Gold
282,16,25,Bronze
283,79,46,Gold
284,94,188,Gold
285,48,63,Bronze
286,70,141,Gold
287,33,71,Bronze
288,37,134,Gold
289,61,26,Gold
290,80,70,Silver
291,41,85,Gold
292,11,34,Gold
293,22,131,Silver
294,61,41,Bronze
295,46,14,Gold
296,95,47,Bronze
297,92,13,Silver
298,96,111,Silver
299,75,77,Gold
300,12,50,Gold
